"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.441377500E-1,4.060825124E-1,1.096773350E0,1.038937370E0
7.540717500E-1,6.988231813E-1,8.399735785E-1,7.646298659E-1
7.640047499E-1,9.652577021E-1,1.079990671E0,5.677886134E-1
7.739377500E-1,1.132875521E0,1.533600705E0,5.047380871E-1
7.838707500E-1,1.141503234E0,1.727442335E0,8.963623720E-1
7.938037500E-1,1.059829326E0,1.681006672E0,1.443788642E0
8.037377499E-1,9.111370435E-1,1.492117633E0,1.920539031E0
8.136707500E-1,6.336178098E-1,1.118505696E0,2.293012515E0
8.236037500E-1,3.426722361E-1,7.747385323E-1,2.548058707E0
8.335367499E-1,1.452795912E-1,4.513974470E-1,2.491158282E0
8.434697500E-1,7.388382727E-2,1.713918310E-1,2.119578837E0
8.534037500E-1,1.838405166E-1,-3.310810447E-2,1.689429002E0
8.633367500E-1,2.894330452E-1,-1.733459705E-1,1.107428731E0
8.732697499E-1,4.651683342E-1,-2.147296393E-1,4.514032942E-1
8.832027500E-1,7.289915250E-1,-2.184303421E-1,5.726119816E-2
8.931357500E-1,9.782553316E-1,-2.477161217E-1,-1.139002526E-1
9.030697499E-1,1.138933163E0,-3.105789524E-1,-1.769022471E-1
9.130027500E-1,1.202396942E0,-2.819468915E-1,-1.408453918E-1
9.229357500E-1,1.139641700E0,-2.284302503E-1,2.079269886E-3
9.328687500E-1,1.123193482E0,-4.155510914E-1,1.877014697E-1
9.428017499E-1,1.013141501E0,-6.753925842E-1,3.408423865E-1
9.527357500E-1,8.368730193E-1,-8.232400167E-1,2.381348741E-1
9.626687500E-1,6.466260374E-1,-1.003699710E0,-6.546308756E-2
9.726017499E-1,4.227080834E-1,-1.177418148E0,-4.631637990E-1
9.825347500E-1,2.148385802E-1,-1.214036336E0,-9.249698746E-1
9.924677500E-1,1.119529105E-1,-1.283430507E0,-1.375959771E0
1.002401750E0,6.102494124E-2,-1.346976292E0,-1.727151729E0
1.012334750E0,9.355228929E-2,-1.427569050E0,-1.960594797E0
1.022267750E0,1.212435880E-1,-1.456567147E0,-1.959147027E0
