"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.055289423E1,6.508843205E1,2.538374031E1,6.090199223E0,1.380841665E0,1.679124322E2,3.584951317E0,3.000000000E0
4.155306304E1,6.508841758E1,2.538374193E1,6.032052958E0,1.395978370E0,1.661265787E2,3.765480285E0,3.000000000E0
4.255322361E1,6.508840789E1,2.538374910E1,5.899496253E0,1.336608009E0,1.657245794E2,3.800939796E0,3.000000000E0
4.355337405E1,6.508839564E1,2.538374921E1,6.068642802E0,1.411162710E0,1.670707056E2,3.661382115E0,3.000000000E0
4.455351293E1,6.508838022E1,2.538376283E1,6.068028426E0,1.530919457E0,1.659185976E2,3.649428041E0,3.000000000E0
4.555364323E1,6.508836621E1,2.538376586E1,6.099639337E0,1.365758090E0,1.644250286E2,3.764164233E0,3.000000000E0
4.655376542E1,6.508835567E1,2.538377056E1,5.904247495E0,1.358144897E0,1.649712007E2,3.805537696E0,3.000000000E0
4.755387974E1,6.508834196E1,2.538377672E1,5.575451613E0,1.412979071E0,1.631139996E2,3.791360645E0,3.000000000E0
4.855398619E1,6.508833056E1,2.538377904E1,5.418476113E0,1.410795417E0,1.656590863E2,3.786607419E0,3.000000000E0
4.955408525E1,6.508832071E1,2.538379296E1,5.530088428E0,1.482384221E0,1.660764613E2,3.777850905E0,3.000000000E0
5.055417752E1,6.508830375E1,2.538380670E1,5.503253495E0,1.473062205E0,1.660318203E2,3.773241818E0,3.000000000E0
5.155426335E1,6.508828969E1,2.538380451E1,5.435244273E0,1.448466466E0,1.714617575E2,3.715342590E0,3.000000000E0
5.255434418E1,6.508827578E1,2.538381662E1,5.396695963E0,1.397121390E0,1.691299983E2,3.682880737E0,3.000000000E0
5.355441880E1,6.508825920E1,2.538382491E1,5.411260397E0,1.431622034E0,1.667366999E2,3.681834055E0,3.000000000E0
5.455448854E1,6.508824621E1,2.538383084E1,5.364354988E0,1.426632336E0,1.686826568E2,3.666787995E0,3.000000000E0
5.555455339E1,6.508823036E1,2.538383389E1,5.424356627E0,1.467069488E0,1.703976992E2,3.606529738E0,3.000000000E0
5.655461442E1,6.508822619E1,2.538384128E1,4.651765618E0,1.433295133E0,1.738216393E2,3.611079557E0,3.762274528E0
5.755466926E1,6.508821039E1,2.538384999E1,4.922843146E0,1.459491168E0,1.700631421E2,3.586234351E0,3.886431429E0
5.855472183E1,6.508819941E1,2.538385846E1,4.882708744E0,1.377214680E0,1.655969202E2,3.532239015E0,3.922327188E0
5.955477214E1,6.508818617E1,2.538387121E1,4.603902111E0,1.448134000E0,1.628417242E2,3.600518593E0,3.664294221E0
6.055481696E1,6.508817423E1,2.538387902E1,4.494715006E0,1.391995219E0,1.653636018E2,3.604408369E0,4.033852288E0
6.155485845E1,6.508816237E1,2.538388599E1,4.472357837E0,1.316809709E0,1.664861050E2,3.665434083E0,3.733041327E0
6.255489659E1,6.508815212E1,2.538389601E1,4.384107791E0,1.240320331E0,1.632361188E2,3.633925792E0,3.797686782E0
6.355493307E1,6.508813788E1,2.538390308E1,4.356478232E0,1.402127163E0,1.662885387E2,3.616914947E0,3.731432044E0
6.455496514E1,6.508812365E1,2.538391538E1,4.276527306E0,1.438980975E0,1.650155478E2,3.609534739E0,3.942149519E0
6.555499649E1,6.508811127E1,2.538392506E1,4.601404838E0,1.415874998E0,1.650127807E2,3.613290880E0,4.062885486E0
6.655502439E1,6.508809832E1,2.538393585E1,4.467845878E0,1.383930220E0,1.653995165E2,3.557656340E0,3.730256696E0
6.755505049E1,6.508808379E1,2.538394610E1,4.474464408E0,1.389801494E0,1.651567868E2,3.511048513E0,3.623971603E0
6.855507493E1,6.508807127E1,2.538396245E1,4.562014543E0,1.368960732E0,1.609438353E2,3.557937716E0,3.653973822E0
6.955509639E1,6.508806178E1,2.538397348E1,4.412434785E0,1.165459444E0,1.580995156E2,3.550425154E0,3.733567481E0
7.055511642E1,6.508805018E1,2.538397816E1,4.390207096E0,1.077675037E0,1.641431584E2,3.568020758E0,3.770389629E0
7.155513561E1,6.508803608E1,2.538396830E1,4.278808347E0,1.171553970E0,1.820598936E2,3.544320148E0,3.750086620E0
7.255515158E1,6.508802698E1,2.538394495E1,4.012188784E0,1.151648589E0,2.042112704E2,3.556528236E0,3.835689571E0
7.355516803E1,6.508801629E1,2.538391177E1,4.007971850E0,1.470888412E0,2.182770907E2,3.580933095E0,3.874756567E0
7.455518103E1,6.508801113E1,2.538388031E1,3.876700281E0,1.414060095E0,2.306846807E2,3.589381651E0,4.180234282E0
7.555519342E1,6.508800522E1,2.538384544E1,3.859529361E0,1.455513513E0,2.385019106E2,3.694560598E0,4.038454471E0
7.655520594E1,6.508800342E1,2.538381015E1,3.680551878E0,1.414100579E0,2.486011821E2,3.736795280E0,4.388254189E0
7.755521595E1,6.508799586E1,2.538377498E1,3.705477336E0,1.495730297E0,2.463297151E2,3.821834798E0,4.122958872E0
7.855522501E1,6.508799147E1,2.538374177E1,3.740662387E0,1.432226543E0,2.476168481E2,3.918794940E0,4.626398525E0
7.955523312E1,6.508798576E1,2.538370874E1,3.616380182E0,1.413884240E0,2.480724960E2,3.931486277E0,4.581424121E0
8.055524039E1,6.508798054E1,2.538367338E1,3.692256148E0,1.478074999E0,2.483610506E2,3.981247018E0,4.566029769E0
8.155524611E1,6.508797422E1,2.538364340E1,3.645452807E0,1.409662100E0,2.454743441E2,4.020487664E0,4.871647341E0
8.255525172E1,6.508796896E1,2.538360991E1,3.867121815E0,1.364660776E0,2.471792136E2,4.077615659E0,4.598519382E0
8.355525625E1,6.508796775E1,2.538357038E1,4.037923174E0,1.453158841E0,2.547299898E2,4.067114189E0,4.866061655E0
8.455526054E1,6.508796952E1,2.538353603E1,3.946769535E0,1.414396888E0,2.640434427E2,4.056497094E0,4.985729184E0
8.555526352E1,6.508797442E1,2.538350740E1,3.831455856E0,1.264569453E0,2.762171910E2,4.074685470E0,4.558830882E0
8.655526614E1,6.508797436E1,2.538347441E1,3.919356893E0,1.257553098E0,2.715620954E2,4.090560087E0,4.449674276E0
8.755526829E1,6.508796682E1,2.538344051E1,3.784495965E0,1.364065463E0,2.548115181E2,4.075644859E0,4.535912412E0
8.855526924E1,6.508795898E1,2.538341203E1,3.797807093E0,1.366267633E0,2.460932976E2,4.149357597E0,4.890353229E0
8.955527306E1,6.508795291E1,2.538338684E1,4.021429370E0,1.029087512E0,2.442524650E2,4.154203289E0,4.944061737E0
9.055527043E1,6.508794344E1,2.538336248E1,3.958306243E0,1.176358340E0,2.369092714E2,4.137465669E0,5.056079645E0
9.155527055E1,6.508793464E1,2.538333287E1,3.769343811E0,1.400853917E0,2.377313884E2,4.227415275E0,4.700777286E0
9.255526948E1,6.508793017E1,2.538331487E1,3.632749955E0,1.016355077E0,2.408751506E2,4.202146407E0,5.000544528E0
9.355526888E1,6.508792280E1,2.538327953E1,3.651535966E0,1.404040738E0,2.415486825E2,4.235779509E0,5.004174124E0
